Brand: hyundai
Referer header: https://www.hyundaiusa.com/
Found 152 image entries across 14 models.

[113/152] palisade/calligraphy/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[114/152] palisade/hybrid-blue-sel/front_three_quarter  ok (41160 bytes, image/webp)
[115/152] palisade/hybrid-blue-sel/rear_three_quarter  ok (95026 bytes, image/webp)
[116/152] palisade/hybrid-blue-sel/side_profile  ok (31704 bytes, image/webp)
[117/152] palisade/hybrid-blue-sel/interior_dashboard  ok (126360 bytes, image/webp)
[118/152] palisade/hybrid-limited/front_three_quarter  ok (44694 bytes, image/webp)
[119/152] palisade/hybrid-calligraphy/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[120/152] ioniq-5/se-standard-range/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[121/152] ioniq-5/se-standard-range/rear_three_quarter  ok (27604 bytes, image/webp)
[122/152] ioniq-5/se-standard-range/side_profile  ok (56648 bytes, image/webp)
[123/152] ioniq-5/se-standard-range/interior_dashboard  ok (37214 bytes, image/webp)
[124/152] ioniq-5/se/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[125/152] ioniq-5/sel/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[126/152] ioniq-5/xrt/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[127/152] ioniq-5/xrt/rear_three_quarter  ok (27604 bytes, image/webp)
[128/152] ioniq-5/xrt/side_profile  ok (56648 bytes, image/webp)
[129/152] ioniq-5/xrt/interior_dashboard  ok (37214 bytes, image/webp)
[130/152] ioniq-5/limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[131/152] ioniq-5-n/ioniq-5-n/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[132/152] ioniq-5-n/ioniq-5-n/rear_three_quarter  ok (30000 bytes, image/webp)
[133/152] ioniq-5-n/ioniq-5-n/side_profile  ok (22752 bytes, image/webp)
[134/152] ioniq-5-n/ioniq-5-n/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[135/152] ioniq-6-n/ioniq-6-n/front_three_quarter  ok (104668 bytes, image/webp)
[136/152] ioniq-6-n/ioniq-6-n/rear_three_quarter  ok (14470 bytes, image/webp)
[137/152] ioniq-6-n/ioniq-6-n/side_profile  ok (22510 bytes, image/webp)
[138/152] ioniq-6-n/ioniq-6-n/interior_dashboard  ok (39752 bytes, image/webp)
[139/152] ioniq-9/s/front_three_quarter  ok (37318 bytes, image/webp)
