Brand: hyundai
Referer header: https://www.hyundaiusa.com/
Found 152 image entries across 14 models.

[95/152] santa-fe/hybrid-se/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[96/152] santa-fe/hybrid-se/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[97/152] santa-fe/hybrid-se/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[98/152] santa-fe/hybrid-sel/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[99/152] santa-fe/hybrid-limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[100/152] santa-fe/hybrid-calligraphy/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[101/152] palisade/se/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[102/152] palisade/se/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[103/152] palisade/se/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[104/152] palisade/se/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[105/152] palisade/sel/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[106/152] palisade/sel-convenience/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[107/152] palisade/sel-premium/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[108/152] palisade/limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[109/152] palisade/xrt-pro/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[110/152] palisade/xrt-pro/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[111/152] palisade/xrt-pro/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[112/152] palisade/xrt-pro/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[113/152] palisade/calligraphy/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[114/152] palisade/hybrid-blue-sel/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[115/152] palisade/hybrid-blue-sel/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[116/152] palisade/hybrid-blue-sel/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[117/152] palisade/hybrid-blue-sel/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[118/152] palisade/hybrid-limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[119/152] palisade/hybrid-calligraphy/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[120/152] ioniq-5/se-standard-range/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[121/152] ioniq-5/se-standard-range/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[122/152] ioniq-5/se-standard-range/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[123/152] ioniq-5/se-standard-range/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[124/152] ioniq-5/se/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[125/152] ioniq-5/sel/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[126/152] ioniq-5/xrt/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[127/152] ioniq-5/xrt/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[128/152] ioniq-5/xrt/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[129/152] ioniq-5/xrt/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[130/152] ioniq-5/limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[131/152] ioniq-5-n/ioniq-5-n/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[132/152] ioniq-5-n/ioniq-5-n/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[133/152] ioniq-5-n/ioniq-5-n/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[134/152] ioniq-5-n/ioniq-5-n/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[135/152] ioniq-6-n/ioniq-6-n/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[136/152] ioniq-6-n/ioniq-6-n/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[137/152] ioniq-6-n/ioniq-6-n/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[138/152] ioniq-6-n/ioniq-6-n/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[139/152] ioniq-9/s/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[140/152] ioniq-9/s/rear_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[141/152] ioniq-9/s/side_profile  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[142/152] ioniq-9/s/interior_dashboard  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[143/152] ioniq-9/se/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[144/152] ioniq-9/sel/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[145/152] ioniq-9/performance-limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[146/152] ioniq-9/performance-calligraphy/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[147/152] ioniq-9/performance-calligraphy-design/front_three_quarter  FAIL (wrong-content-type — content-type text/html; charset=utf-8)
[148/152] nexo/blue/front_three_quarter  FAIL (wrong-content-type — content-type text/html)
[149/152] nexo/blue/rear_three_quarter  FAIL (wrong-content-type — content-type text/html)
[150/152] nexo/blue/side_profile  FAIL (wrong-content-type — content-type text/html)
[151/152] nexo/blue/interior_dashboard  FAIL (wrong-content-type — content-type text/html)
[152/152] nexo/limited/front_three_quarter  FAIL (wrong-content-type — content-type text/html)

No downloads succeeded — JSON files left untouched.

========================================
  SUMMARY
========================================
Brand:                  hyundai
Total images attempted: 152
Successful:             0 (0.0%)
Failed:                 152

Failed by HTTP status:
  (none)

Failed by other error kind:
  wrong-content-type: 152

Models with zero successful images: 14 of 14
  - venue (5 attempted)
  - elantra (17 attempted)
  - elantra-n (4 attempted)
  - sonata (15 attempted)
  - kona (7 attempted)
  - tucson (23 attempted)
  - santa-cruz (11 attempted)
  - santa-fe (18 attempted)
  - palisade (19 attempted)
  - ioniq-5 (11 attempted)
  - ioniq-5-n (4 attempted)
  - ioniq-6-n (4 attempted)
  - ioniq-9 (9 attempted)
  - nexo (5 attempted)

Failure breakdown (one example per group):
  [wrong-content-type (text/html; charset=utf-8)] x147 — e.g. https://www.hyundaiusa.com/us/en/vehicles/venue
  [wrong-content-type (text/html)] x5 — e.g. https://www.hyundainews.com/models/hyundai-nexo-2026-nexo/overview
